,title,commentCount,dislikeCount,likeCount,music_style,performer,viewCount,commentators_uniq,date
14135,"Ольга Бузова - Эгоистка ( Премьера Lyric - video, альбом ""Принимай меня"" )",255.0,372.0,4125.0,popsa,бузова,294682.0,151.0,2018-10-30
14136,"Ольга Бузова - видеоотчет с гастролей г. Орел, клуб Часы",43.0,420.0,539.0,popsa,бузова,50560.0,22.0,2016-12-15
14137,"Ольга Бузова -Шоу ""Под звуки поцелуев""  (Полная версия концерта/official video)",1031.0,1061.0,8260.0,popsa,бузова,556975.0,651.0,2018-01-21
14138,Ольга Бузова 26⁄11⁄2015   Немного красоты для chu and chu project,13.0,215.0,240.0,popsa,бузова,24513.0,7.0,2016-02-20
14139,Ольга Бузова feat Витя АК: На Доме-2,501.0,2293.0,5326.0,popsa,бузова,241574.0,333.0,2018-11-10
14140,Ольга Бузова и Дмитрий Тарасов - Всё для тебя,199.0,1022.0,2181.0,popsa,бузова,214601.0,141.0,2016-02-06
14141,Ольга Бузова и Тимур Батрудинов  - Official backstage.,559.0,564.0,8357.0,popsa,бузова,366583.0,424.0,2018-02-08
14142,Ольга Бузова на презентации своего клипа,40.0,274.0,441.0,popsa,бузова,58558.0,32.0,2016-02-20
14143,Ольга Бузова устроила в Липецке модную революцию,10.0,138.0,113.0,popsa,бузова,9643.0,7.0,2016-02-20
14144,Ольга Бузова-видеоотчет с концерта (Mriya resort & SPA),420.0,674.0,3111.0,popsa,бузова,182945.0,243.0,2017-07-20
14145,Ольга Канаева,,18.0,38.0,popsa,макsим,1200.0,,2015-07-07
14146,Ольга Р.,,51.0,8.0,popsa,макsим,2547.0,,2015-07-15
14147,Омертвение,7.0,46.0,509.0,rap,pharaon,49845.0,5.0,2018-08-21
14148,Омск (Backstage) - TEMNIKOVA TOUR 17/18 (Елена Темникова),13.0,13.0,182.0,popsa,темникова,6184.0,11.0,2018-03-06
14149,Омск (Выступление) - TEMNIKOVA TOUR 17/18 (Елена Темникова),11.0,8.0,292.0,popsa,темникова,11407.0,7.0,2018-03-07
14150,Омск (Дом MTV) - Елена Темникова,27.0,19.0,730.0,popsa,темникова,24629.0,25.0,2017-10-04
14151,Омск 2010,0.0,1.0,14.0,estrada,киркоров,1146.0,,2010-11-08
14152,Омут,0.0,37.0,93.0,indi,наадя,4078.0,,2014-11-20
14153,Он увидел солнце,0.0,3.0,19.0,rock,гражданская_оборона,2543.0,,2018-10-19
14154,Он увидел солнце,0.0,2.0,14.0,rock,летов,1298.0,,2015-04-05
14155,Он увидел солнце (Live),0.0,0.0,1.0,rock,гражданская_оборона,42.0,,2018-08-17
14156,Он. За сутки до жены,0.0,0.0,0.0,rock,несчастный_случай,97.0,,2018-05-24
14157,Он. Зачем нам самочка,0.0,0.0,1.0,rock,несчастный_случай,156.0,,2018-05-24
14158,Он. Звонок с того света,0.0,0.0,1.0,rock,несчастный_случай,125.0,,2018-05-24
14159,Он. Мимо митинга,0.0,0.0,1.0,rock,несчастный_случай,108.0,,2018-05-24
14160,Он. Папа пришёл домой,0.0,1.0,2.0,rock,несчастный_случай,710.0,,2018-05-24
14161,Он. Учим английский,0.0,0.0,1.0,rock,несчастный_случай,204.0,,2018-05-24
14162,Она,0.0,3.0,1.0,rock,чичерина,163.0,,2018-05-15
14163,Она не боится,2.0,87.0,294.0,popsa,бузова,30709.0,,2018-08-09
14164,Она хочет домой,1.0,22.0,88.0,indi,мальбэк,8650.0,,2017-04-01
14165,Она. Знакомство в баре,0.0,0.0,0.0,rock,несчастный_случай,126.0,,2018-05-24
14166,Она. Пересадка в Дюссельдорфе,0.0,0.0,1.0,rock,несчастный_случай,148.0,,2018-05-24
14167,Она. Последний раз в Шереметьево D,0.0,0.0,0.0,rock,несчастный_случай,96.0,,2018-05-24
14168,Она. Такси в аэропорт,0.0,1.0,1.0,rock,несчастный_случай,235.0,,2018-05-24
14169,Онанист (Любовь),0.0,1.0,8.0,rock,ддт,929.0,,2016-09-09
14170,Они (Резвые),0.0,2.0,8.0,rock,гражданская_оборона,693.0,,2018-06-13
